Location,Latitude,Longitude
"spreckels mansion (2080 washington street, pacific heights)",0.0,0.0
marriot hotel (55 4th street at market),37.785138,-122.4041268
citicorp center (1 sansome street at sutter),37.7904462,-122.4011537
golden dragon restaurant (816 washington street at grant),0.0,0.0
pier 39 san francisco,37.80867300000001,-122.409821
columbus avenue between washington and bay streets,0.0,0.0
barbary coast,37.7822332,-122.4079473
baker beach,37.7935724,-122.483638
"international studies academy (993 vermont street, potrero hill)",37.7619724,-122.4010678
hyde street cable car,37.8070572,-122.4212041
montgomery & pine streets (financial district),37.7919106,-122.4025966
950 mason street,37.7924958,-122.4100355
16th st.,38.9979282,-77.03826889999999
"capital restaurant, 839 clay street",37.7940788,-122.4071024
filbert and kearny steps,37.801771,-122.4062606
palace of fine arts (3301 lyon street),37.8019913,-122.4486565
500 cortland avenue,43.03011,-76.156133
real guitars,37.7734127,-122.4174864
embarcadero between bay and chestnut st,0.0,0.0
"bayview police station, 201 williams ave.",37.7298279,-122.3977161
1801 laguna at bush,37.7876567,-122.428551
420 mason st.,37.7875662,-122.409595
green & laguna streets,37.7967926,-122.430393
market st. at embarcadero area,37.7981483,-122.284548
"the end up, 401 6th streeet",37.7772833,-122.403778
819 mason street at pine,37.7908979,-122.4106552
muni line n- judah,0.0,0.0
gough street & clay street,37.79176959999999,-122.4260016
the café at 2369 market st.,37.7629417,-122.4343334
"ywca, 940 powell",37.7934919,-122.4092654
sutter & baker streets,37.7848308,-122.4432077
"urban flowers, 4029 18th street",37.7608889,-122.4333977
war memorial building (401 van ness avenue),37.7795732,-122.42101
point lobos avenue,37.7799078,-122.5086725
"ellis food center, 398 ellis",38.9355554,-99.56031759999999
"billy goat hill, castro st. & 30th st.",37.741492,-122.4329806
440 castro st.,37.7618293,-122.4353406
merchant exchange building,39.9472668,-75.14594
filbert st. from hyde to leavenworth,0.0,0.0
victoria theatre,39.762148,-84.1921394
"harvey milk plaza, 17th and castro",37.7623906,-122.4353401
hayes & polk streets (civic center),37.7775135,-122.4180647
san francisco general hospital,37.755535,-122.4049855
"bessie charmichael elementary school (375 seventh street, soma)",37.7762375,-122.4063687
market st at embarcadero,37.7981483,-122.284548
intersection of california & grant streets (richmond district),34.7982255,-120.5114041
1227 montgomery street,37.8004708,-122.4045297
534 hyde street,37.7859698,-122.4161084
22nd st.,37.7558455,-122.4122264
"olympic flame café, 555 geary st",37.786733,-122.4124366
2179 48th ave,37.74554820000001,-122.5072314
cal-mart supermarket,37.7861918,-122.4528223
901 missouri street,37.7780975,-90.410448
st. elizabeth apartment house (901 powell street at sacramento),37.7930902,-122.4095704
alcatraz island,37.8269775,-122.4229555
200 kansas st.,37.7667651,-122.4042173
ocean beach at lincoln,38.974338,-74.96121
"the drew school, 2901 california",37.787638,-122.442352
"willy's barber shop, 3227 22nd street",37.7552116,-122.419437
nobles alley,37.8009834,-122.407411
scott st between jackson and clay st,37.791932,-122.43924
california & grant streets,37.7924638,-122.405954
8 octavia street,37.7725981,-122.4234299
casa lucas market at 2934 24th st,37.7528007,-122.4106944
"larken street youth services, 1138 sutter street",37.7822605,-122.4130207
san remo hotel (2237 mason),37.8042943,-122.413603
the stud,37.7727671,-122.4100757
"marina green, marina district",37.8069514,-122.4393511
broadway & sansome,37.7984385,-122.4022479
"nam yuen restaurant (740 washington street, chinatown)",37.7953019,-122.4058351
"twin peaks bar, 401 castro",37.7624034,-122.4349646
bart from civic center to 24th st.,37.7522493,-122.4184588
san francisco bay,37.6909682,-122.3107517
fillmore and waller,37.7711891,-122.4302841
"daniel's pharmacy, 943 geneva ave",37.7163218,-122.4403456
chestnut st. from larkin to columbus,39.9681658,-83.00004559999999
tonic,38.8980798,-77.046469
waller st between masonic and del mar st,0.0,0.0
e tutto qua restaurant (270 columbus st.),37.7978094,-122.4062467
clement st. from 5th and 7th ave.,37.7828573,-122.4639038
"grace cathedral, 1100 california st.",37.7918581,-122.4134328
"postcard row (alamo square, hayes valley)",37.7762593,-122.432758
"daniel's pharmacy, 943 geneva ave.",37.7163218,-122.4403456
pine st. & davis st,37.792584,-122.3974392
hyde at union,37.7992091,-122.4190745
filbert between hyde and jones,0.0,0.0
mcallister & scott streets (hayes valley),37.77800939999999,-122.4367039
3650 21st street,37.7566202,-122.4290723
specs' twelve adler museum café,37.7976253,-122.4059732
2417 franklin street,37.79669,-122.425606
filbert st at stockton st,37.8013784,-122.4093961
buena vista park (haight street at buena vista),37.7708518,-122.4403874
kennedy hotel (226 embarcadero at howard street),0.0,0.0
jawbone at 99 rhode island st.,37.7689205,-122.4025611
18 urbano,37.7247026,-122.4631156
mason and pacific,37.7962015,-122.4115647
1375 haight st.,37.7698938,-122.4447426
administration building (treasure island),37.8172181,-122.3707037
project artaud (florida street),37.7631435,-122.4119294
422 oak street at laguna,37.7746043,-122.4259057
brocklebank apartments (1000 mason street),37.7931691,-122.4105791
linden alley between octavia and gough streets,0.0,0.0
flint & 16th (castro),37.7639946,-122.4365551
"mt. davidson cross, mt. davidson",37.738346,-122.4547746
pennsylvania avenue at 19th street,37.7614837,-122.3935108
"mccovey point, china basin park (24 willy mays plaza)",37.7785951,-122.3892698
city hall,36.15547,-95.989875
twin peaks park,37.7525098,-122.4475683
larkin & fulton,37.779594,-122.4168277
"orphan andy's, 3991 17th street",37.76240629999999,-122.4349009
blooms saloon (18th street between missouri and texas streets),37.7627985,-122.3960369
"huntington park (california & taylor streets, nob hill)",37.7921814,-122.4121737
mission san juan bautista (2nd & mariposa streets),36.8458522,-121.535692
montgomery & vallejo streets,37.799174,-122.4040675
yerba buena gardens,37.7850153,-122.4023464
"another café, 1191 pine st at leavenworth",37.7901035,-122.4153984
fort mason (golden gate national recreation area),37.8055176,-122.4283351
314 11th street,40.66805979999999,-73.98793479999999
merchant exchange (465 california street at leidesdorff),37.7925542,-122.4021254
webster street,39.7779312,-84.1821696
372/374 pennsylvania avenue,37.7618033,-122.3938338
"building 924, presidio (golden gate national recreation area)",37.8480388,-122.5294085
"sacramento st., between pierce & broderick streets",0.0,0.0
clay st. at sansome,37.7948569,-122.401515
"stockton tunnel southern approach overhang (bush & stockton streets, chinatown)",0.0,0.0
market & castro street,37.762738,-122.4352084
2178 palou ave.,37.7406288,-122.4015231
812 22nd st. and tennessee,37.7578889,-122.3892762
san francisco - oakland bay bridge,37.7982799,-122.3778182
eros,32.3923731,-92.4240322
davies symphony hall (201 van ness ave.),37.7776121,-122.420623
jones street at bush,37.7895396,-122.4137511
